id,question,GT_Value,GT_Ref,GT_Explanation,answer_unit,ensemble-top3-majority_Value,ensemble-top3-majority_Ref,ensemble-top3-majority_ValCorrect,ensemble-top3-majority_RefScore,ensemble-top3-majority_NACorrect,mistral7b-bench_Value,mistral7b-bench_Ref,mistral7b-bench_ValCorrect,mistral7b-bench_RefScore,mistral7b-bench_NACorrect,mixtral-8x22b-bench_Value,mixtral-8x22b-bench_Ref,mixtral-8x22b-bench_ValCorrect,mixtral-8x22b-bench_RefScore,mixtral-8x22b-bench_NACorrect,mixtral-8x7b-bench_Value,mixtral-8x7b-bench_Ref,mixtral-8x7b-bench_ValCorrect,mixtral-8x7b-bench_RefScore,mixtral-8x7b-bench_NACorrect,olmoe-1b7b-bench_Value,olmoe-1b7b-bench_Ref,olmoe-1b7b-bench_ValCorrect,olmoe-1b7b-bench_RefScore,olmoe-1b7b-bench_NACorrect,phi3-mini-bench_Value,phi3-mini-bench_Ref,phi3-mini-bench_ValCorrect,phi3-mini-bench_RefScore,phi3-mini-bench_NACorrect,qwen14b-bench_Value,qwen14b-bench_Ref,qwen14b-bench_ValCorrect,qwen14b-bench_RefScore,qwen14b-bench_NACorrect,qwen3-30b-a3b-bench_Value,qwen3-30b-a3b-bench_Ref,qwen3-30b-a3b-bench_ValCorrect,qwen3-30b-a3b-bench_RefScore,qwen3-30b-a3b-bench_NACorrect,qwen32b-bench_Value,qwen32b-bench_Ref,qwen32b-bench_ValCorrect,qwen32b-bench_RefScore,qwen32b-bench_NACorrect,qwen3b-bench_Value,qwen3b-bench_Ref,qwen3b-bench_ValCorrect,qwen3b-bench_RefScore,qwen3b-bench_NACorrect,qwen72b-bench_Value,qwen72b-bench_Ref,qwen72b-bench_ValCorrect,qwen72b-bench_RefScore,qwen72b-bench_NACorrect,qwen7b-bench_Value,qwen7b-bench_Ref,qwen7b-bench_ValCorrect,qwen7b-bench_RefScore,qwen7b-bench_NACorrect
q001,What was the average increase in U.S. data center electricity consumption between 2010 and 2014?,4,['wu2021b'],Quote,percent,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,is_blank,"[""wu2021b""]",False,1.0,True,,[],False,0.0,True,4,"[""wu2021b"", ""luccioni2024"", ""han2024""]",True,0.3333333333333333,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True
q002,"In 2023, what was the estimated amount of cars that could be taken off the road equivalent to the amount of metric tons of CO2e the Amazon Solar Farm Maryland-CPV Backbone would avoid?",13900,['amazon2023'],Quote,cars,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,"13,900","[""amazon2023""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,"13,900","[""amazon2023"", ""amazon2023"", ""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""[ref_id=amazon2023]""]",True,0.0,True
q004,How many data centers did AWS begin using recycled water for cooling in 2023?,24,['amazon2023'],Quote,data centers,24,"[""amazon2023""]",True,1.0,True,is_blank,"[""amazon2023""]",False,1.0,True,24,"[""amazon2023""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,24,"[""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023"", ""amazon2023""]",True,1.0,True,4,"[""amazon2023""]",False,1.0,True,24,"[""amazon2023""]",True,1.0,True,24,"[""amazon2023""]",True,1.0,True,24,"[""amazon2023""]",True,1.0,True,24,"[""amazon2023""]",True,1.0,True,24,"[""amazon2023""]",True,1.0,True
q005,"Since NVIDIA doesn't release the embodied carbon emissions of its hardware, what are the estimated embodied carbon emissions in kg per GPU?",463,['morrison2025'],Quote,kg/GPU,463,"[""luccioni2023"", ""morrison2025""]",True,0.5,True,is_blank,"[""luccioni2025b""]",False,0.0,True,0.013,"[""morrison2025""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,is_blank,"[""luccioni2025b"", ""morrison2025""]",False,0.5,True,is_blank,"[""is_blank""]",False,0.0,True,463,"[""morrison2025"", ""luccioni2023""]",True,0.5,True,463,"[""morrison2025"", ""luccioni2023""]",True,0.5,True,3700,"[""luccioni2025b""]",False,0.0,True,463,"[""morrison2025""]",True,1.0,True,0.013,"[""morrison2025""]",False,1.0,True
q006,By what factor was the estimated amortized training cost of GPT-4 greater than the total training budget for FLM-101B?,400,"['cottier2025', 'li2025a']","The cost for GPT-4 was $40,000,000, and the budget for FLM-101B was 100,000.Calculation:40,000,000/100,000=400.",ratio,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,1,"[""is_blank""]",False,0.0,True,is_blank,"[""cottier2024""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,1,"[""li2025a, cottier2024""]",False,0.0,True,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,400,"[""li2025a"", ""cottier2024""]",True,0.3333333333333333,True,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,1438,"[""li2025a""]",False,0.5,True,400,"[""li2025a"", ""cottier2024""]",True,0.3333333333333333,True,8,"[""cottier2024""]",False,0.0,True
q007,What is the approximate CO2e for a single passenger round trip from San Francisco (SF) to New York (NY)?,1.2,['patterson2021'],Table,tCO2e,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,,[],False,0.0,True,,[],False,0.0,True,1.2,"[""patterson2021"", ""strubell2019""]",True,0.5,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True
q008,"When evaluated on the Open LLM Leaderboard, what was the final average performance score achieved by the FLM-101B model?",43.94,['li2025a'],"Table 4, Quote",score,43.94,"[""li2025a""]",True,1.0,True,is_blank,"[""li2025a""]",False,1.0,True,43.94,"[""li2025a""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,,[],False,0.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True
q010,By how many fold did processor clock speed improve between the Intel 4004 (1971) and typical 2021 microprocessors?,6750,['wu2021b'],6750,fold,6750,"[""wu2021b""]",True,1.0,True,1,"[""wu2021b""]",False,1.0,True,6750,"[""wu2021b""]",True,1.0,True,5000000,"[""wu2021b""]",False,1.0,True,,[],False,0.0,True,,[],False,0.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True
q011,"How many days did it take to train GPT-3 using 10,000 V100 GPUs at 24.6 TeraFLOPS/sec?",14.8,['patterson2021'],Quote,days,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,,[],False,0.0,True,14.8,"[""patterson2021"", ""luccioni2023"", ""strubell2019"", ""samsi2024"", ""dodge2022""]",True,0.2,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021"", ""luccioni2023""]",True,0.5,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,,[],False,0.0,True
q012,What is the estimated GPU Power Usage in kWh from SGLang benchmarking on 2400 prompts from ShareGPT at an 8 request/s frequency with a Llama 3.2 1B model?,0.036,['morrison2025'],Table,kWh,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,12.0,"[""morrison2025""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,varies for different models and GPUs,"[""samsi2024"", ""jegham2025""]",False,0.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True
