id,question,GT_Value,GT_Ref,GT_Explanation,answer_unit,claude35-haiku-bench_Value,claude35-haiku-bench_Ref,claude35-haiku-bench_ValCorrect,claude35-haiku-bench_RefScore,claude35-haiku-bench_NACorrect,claude37-sonnet-bench_Value,claude37-sonnet-bench_Ref,claude37-sonnet-bench_ValCorrect,claude37-sonnet-bench_RefScore,claude37-sonnet-bench_NACorrect,deepseek-r1-bench_Value,deepseek-r1-bench_Ref,deepseek-r1-bench_ValCorrect,deepseek-r1-bench_RefScore,deepseek-r1-bench_NACorrect,haiku-bench_Value,haiku-bench_Ref,haiku-bench_ValCorrect,haiku-bench_RefScore,haiku-bench_NACorrect,llama3-70b-bench_Value,llama3-70b-bench_Ref,llama3-70b-bench_ValCorrect,llama3-70b-bench_RefScore,llama3-70b-bench_NACorrect,llama4-maverick-bench_Value,llama4-maverick-bench_Ref,llama4-maverick-bench_ValCorrect,llama4-maverick-bench_RefScore,llama4-maverick-bench_NACorrect,llama4-scout-bench_Value,llama4-scout-bench_Ref,llama4-scout-bench_ValCorrect,llama4-scout-bench_RefScore,llama4-scout-bench_NACorrect,nova-pro-bench_Value,nova-pro-bench_Ref,nova-pro-bench_ValCorrect,nova-pro-bench_RefScore,nova-pro-bench_NACorrect,sonnet-bench_Value,sonnet-bench_Ref,sonnet-bench_ValCorrect,sonnet-bench_RefScore,sonnet-bench_NACorrect
q003,What is the name of the benchmark suite presented in a recent paper for measuring inference energy consumption?,ML.ENERGY Benchmark,['chung2025'],Quote,is_blank,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,The ML.ENERGY Benchmark,"[""chung2025""]",False,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True,,[],False,0.0,True,ML.ENERGY Benchmark,"[""chung2025""]",True,1.0,True
q009,What were the net CO2e emissions from training the GShard-600B model?,4.3,['patterson2021'],Quote,tCO2e,0.55,"[""wu2021a""]",False,0.0,True,450,"[""wu2021a""]",False,0.0,True,500,"[""wu2021a""]",False,0.0,True,0.5,"[""wu2021a""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,0.55,"[""wu2021a""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,400000,"[""wu2021a""]",False,0.0,True
q054,What is the model size in gigabytes (GB) for the LLaMA-33B model?,64.7,['chen2024'],Table 3,GB,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""[ref_id=chen2024]""]",True,0.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True,64.7,"[""chen2024""]",True,1.0,True
q062,"What was the total electricity consumption of all Google Cloud TPU pods worldwide in 2023, in megawatt-hours?",is_blank,is_blank,is_blank,MWh,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True,is_blank,"[""is_blank""]",True,1.0,True
q075,True or False: Hyperscale data centers in 2020 achieved more than 40% higher efficiency compared to traditional data centers.,1,"['wu2021b','patterson2021']","The >40% statement is explicit in Wu. Patterson's PUE numbers (1.59 vs 1.11) provide a numeric example consistent with ""more than 40% higher efficiency.""",is_blank,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True,1,"[""wu2021b""]",True,0.5,True
q078,"For every medium-length GPT-3 completion (prompt= 800 words; response 150 - 300 words), roughly how many 500 mL bottles of water does the model 'drink'?","[0.02,0.1]",['li2025b'],"The paper states that one 500ml bottle is consumed for every 10 to 50 responses. Therefore, one response consumes 1/50 to 1/10 of a bottle, which is 0.02 to 0.1 bottles.",500 mL bottles,1,"[""li2025b"", ""luccioni2025a""]",False,0.5,True,1/10 to 1/50,"[""li2025b""]",False,1.0,True,10–50,"[""li2025b""]",False,1.0,True,10 - 50,"[""li2025b""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,30,"[""li2025b""]",False,1.0,True,is_blank,"[""li2025b""]",False,1.0,True,10 to 50,"[""li2025b""]",False,1.0,True,0.02-0.1,"[""li2025b""]",False,1.0,True
q091,"From a sample of 60 papers from top AI conferences, what is the difference between the percentage of CVPR papers that target accuracy and the percentage of CVPR papers that target efficiency?",55,['schwartz2019'],Requires calculation (75-20),percent,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True,55,"[""schwartz2019"", ""schwartz2019""]",True,1.0,True,55,"[""schwartz2019""]",True,1.0,True
q102,"True or False: The AI Act makes energy consumption data from providers publicly available to NGOs, analysts, and the general public.",0,['ebert2024'],Quote,is_blank,0,"[""ebert2024""]",True,1.0,True,0,"[""ebert2024""]",True,1.0,True,0,"[""ebert2024"", ""ebert2024"", ""ebert2024""]",True,1.0,True,is_blank,"[""ebert2024""]",False,1.0,True,0,"[""ebert2024""]",True,1.0,True,0,"[""ebert2024""]",True,1.0,True,0,"[""ebert2024""]",True,1.0,True,,[],False,0.0,True,0,"[""ebert2024""]",True,1.0,True
q105,What is the projected maximum batch size (in samples) for fine-tuning a Mixtral model with a projected GPU capacity of 100?,28,['xia2024'],Figure,samples,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28 and 35,"[""xia2024""]",False,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True,28,"[""xia2024"", ""xia2024"", ""xia2024"", ""xia2024""]",True,1.0,True,28,"[""xia2024""]",True,1.0,True
q106,What was the approximate speedup in inference throughput for LLaMA-7B when using NVIDIA A100 GPUs compared to V100 GPUs?,2,['samsi2024'],Quote,multiplier,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,1,"[""samsi2024""]",False,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True,2,"[""samsi2024"", ""samsi2024""]",True,1.0,True,2,"[""samsi2024""]",True,1.0,True
